photometry,magnitude,band,u
photometry,magnitude,band,g
photometry,magnitude,band,r
photometry,magnitude,band,i
photometry,magnitude,band,z
photometry,magnitude,band,U
photometry,magnitude,band,B
photometry,magnitude,band,V
photometry,magnitude,band,R
photometry,magnitude,band,I
photometry,magnitude,band,G
photometry,magnitude,band,Y
photometry,magnitude,band,J
photometry,magnitude,band,H
photometry,magnitude,band,K
photometry,magnitude,band,C
photometry,magnitude,band,CR
photometry,magnitude,band,CV
photometry,magnitude,band,M2
photometry,magnitude,band,W1
photometry,magnitude,band,pg
photometry,magnitude,band,Mp
photometry,magnitude,band,W1
photometry,magnitude,band,y
photometry,magnitude,band,Z
photometry,magnitude,band,F110W
photometry,magnitude,band,F775W
photometry,magnitude,band,F850LP
photometry,magnitude,band,VM
photometry,magnitude,band,RM
photometry,magnitude,band,Ks
